,MLASO FP Equity_PX_LAST
2022-11-28,70.0
2022-11-29,70.0
2022-11-30,70.0
2022-12-01,70.0
2022-12-02,70.0
2022-12-05,70.0
2022-12-06,70.0
2022-12-07,70.0
2022-12-08,70.0
2022-12-09,70.0
2022-12-12,70.0
2022-12-13,70.0
2022-12-14,70.0
2022-12-15,70.0
2022-12-16,70.0
2022-12-19,70.0
2022-12-20,70.0
2022-12-21,70.0
2022-12-22,70.0
2022-12-23,70.0
2022-12-27,70.0
2022-12-28,70.0
2022-12-29,70.0
2022-12-30,70.0
2023-01-02,70.0
2023-01-03,70.0
2023-01-04,70.0
2023-01-05,70.0
2023-01-06,70.0
2023-01-09,70.0
2023-01-10,70.0
2023-01-11,70.0
2023-01-12,70.0
2023-01-13,70.0
2023-01-16,70.0
2023-01-17,70.0
2023-01-18,70.0
2023-01-19,70.0
2023-01-20,70.0
2023-01-23,70.0
2023-01-24,70.0
2023-01-25,70.0
2023-01-26,70.0
2023-01-27,70.0
2023-01-30,70.0
2023-01-31,70.0
2023-02-01,70.0
2023-02-02,70.0
2023-02-03,70.0
2023-02-06,70.0
2023-02-07,70.0
2023-02-08,70.0
2023-02-09,70.0
2023-02-10,70.0
2023-02-13,70.0
2023-02-14,70.0
2023-02-15,70.0
2023-02-16,70.0
2023-02-17,70.0
2023-02-20,70.0
2023-02-21,70.0
2023-02-22,70.0
2023-02-23,70.0
2023-02-24,70.0
2023-02-27,70.0
2023-02-28,70.0
2023-03-01,70.0
2023-03-02,70.0
2023-03-03,70.0
2023-03-06,70.0
2023-03-07,70.0
2023-03-08,70.0
2023-03-09,70.0
2023-03-10,70.0
2023-03-13,70.0
2023-03-14,70.0
2023-03-15,70.0
2023-03-16,70.0
2023-03-17,70.0
2023-03-20,70.0
2023-03-21,70.0
2023-03-22,70.0
2023-03-23,70.0
2023-03-24,70.0
2023-03-27,70.0
2023-03-28,70.0
2023-03-29,70.0
2023-03-30,70.0
2023-03-31,70.0
2023-04-03,70.0
2023-04-04,70.0
2023-04-05,70.0
2023-04-06,70.0
2023-04-11,70.0
2023-04-12,70.0
2023-04-13,70.0
2023-04-14,70.0
2023-04-17,70.0
2023-04-18,70.0
2023-04-19,70.0
2023-04-20,70.0
2023-04-21,70.0
2023-04-24,70.0
2023-04-25,70.0
2023-04-26,70.0
2023-04-27,70.0
2023-04-28,70.0
2023-05-02,70.0
2023-05-03,70.0
2023-05-04,70.0
2023-05-05,70.0
2023-05-08,70.0
2023-05-09,70.0
2023-05-10,70.0
2023-05-11,70.0
2023-05-12,70.0
2023-05-15,70.0
2023-05-16,70.0
2023-05-17,70.0
2023-05-18,70.0
2023-05-19,70.0
2023-05-22,70.0
2023-05-23,70.0
2023-05-24,70.0
2023-05-25,70.0
2023-05-26,70.0
2023-05-29,70.0
2023-05-30,70.0
2023-05-31,70.0
2023-06-01,70.0
2023-06-02,70.0
2023-06-05,70.0
2023-06-06,70.0
2023-06-07,70.0
2023-06-08,70.0
2023-06-09,70.0
2023-06-12,70.0
2023-06-13,70.0
2023-06-14,70.0
2023-06-15,70.0
2023-06-16,70.0
2023-06-19,70.0
2023-06-20,70.0
2023-06-21,70.0
2023-06-22,70.0
2023-06-23,70.0
2023-06-26,70.0
2023-06-27,70.0
2023-06-28,70.0
2023-06-29,70.0
2023-06-30,70.0
2023-07-03,70.0
2023-07-04,70.0
2023-07-05,70.0
2023-07-06,70.0
2023-07-07,70.0
2023-07-10,70.0
2023-07-11,70.0
2023-07-12,70.0
2023-07-13,70.0
2023-07-14,70.0
2023-07-17,70.0
2023-07-18,70.0
2023-07-19,70.0
2023-07-20,70.0
2023-07-21,70.0
2023-07-24,70.0
2023-07-25,70.0
2023-07-26,70.0
2023-07-27,70.0
2023-07-28,70.0
2023-07-31,70.0
2023-08-01,70.0
2023-08-02,70.0
2023-08-03,70.0
2023-08-04,70.0
2023-08-07,70.0
2023-08-08,70.0
2023-08-09,70.0
2023-08-10,70.0
2023-08-11,70.0
2023-08-14,70.0
2023-08-15,70.0
2023-08-16,70.0
2023-08-17,70.0
2023-08-18,70.0
2023-08-21,70.0
2023-08-22,70.0
2023-08-23,70.0
2023-08-24,70.0
2023-08-25,70.0
2023-08-28,70.0
2023-08-29,70.0
2023-08-30,70.0
2023-08-31,70.0
2023-09-01,70.0
2023-09-04,70.0
2023-09-05,70.0
2023-09-06,70.0
2023-09-07,70.0
2023-09-08,70.0
2023-09-11,70.0
2023-09-12,70.0
2023-09-13,70.0
2023-09-14,70.0
2023-09-15,70.0
2023-09-18,70.0
2023-09-19,70.0
2023-09-20,70.0
2023-09-21,70.0
2023-09-22,70.0
2023-09-25,70.0
2023-09-26,70.0
2023-09-27,70.0
2023-09-28,70.0
2023-09-29,70.0
2023-10-02,70.0
2023-10-03,70.0
2023-10-04,70.0
2023-10-05,70.0
2023-10-06,70.0
2023-10-09,70.0
2023-10-10,70.0
2023-10-11,70.0
2023-10-12,70.0
2023-10-13,70.0
2023-10-16,70.0
2023-10-17,70.0
2023-10-18,70.0
2023-10-19,70.0
2023-10-20,70.0
2023-10-23,70.0
2023-10-24,70.0
2023-10-25,70.0
2023-10-26,70.0
2023-10-27,70.0
2023-10-30,70.0
2023-10-31,70.0
2023-11-01,70.0
2023-11-02,70.0
2023-11-03,70.0
2023-11-06,70.0
2023-11-07,70.0
2023-11-08,70.0
2023-11-09,70.0
2023-11-10,70.0
2023-11-13,70.0
2023-11-14,70.0
2023-11-15,70.0
2023-11-16,70.0
2023-11-17,70.0
2023-11-20,70.0
2023-11-21,70.0
2023-11-22,70.0
2023-11-23,70.0
2023-11-24,70.0
2023-11-27,70.0
2023-11-28,70.0
2023-11-29,70.0
2023-11-30,70.0
2023-12-01,70.0
2023-12-04,70.0
2023-12-05,70.0
2023-12-06,70.0
2023-12-07,70.0
2023-12-08,70.0
2023-12-11,70.0
2023-12-12,70.0
2023-12-13,70.0
2023-12-14,70.0
2023-12-15,70.0
2023-12-18,70.0
2023-12-19,70.0
2023-12-20,70.0
2023-12-21,70.0
2023-12-22,70.0
2023-12-27,70.0
2023-12-28,70.0
2023-12-29,70.0
2024-01-02,70.0
2024-01-03,70.0
2024-01-04,70.0
2024-01-05,70.0
2024-01-08,70.0
2024-01-09,70.0
2024-01-10,70.0
2024-01-11,70.0
2024-01-12,70.0
2024-01-15,70.0
2024-01-16,70.0
2024-01-17,70.0
2024-01-18,70.0
2024-01-19,70.0
2024-01-22,70.0
2024-01-23,70.0
2024-01-24,70.0
2024-01-25,70.0
2024-01-26,70.0
2024-01-29,70.0
2024-01-30,70.0
2024-01-31,70.0
2024-02-01,70.0
2024-02-02,70.0
2024-02-05,70.0
2024-02-06,70.0
2024-02-07,70.0
2024-02-08,70.0
2024-02-09,70.0
2024-02-12,70.0
2024-02-13,70.0
2024-02-14,70.0
2024-02-15,70.0
2024-02-16,70.0
2024-02-19,70.0
2024-02-20,70.0
2024-02-21,70.0
2024-02-22,70.0
2024-02-23,70.0
2024-02-26,70.0
2024-02-27,70.0
2024-02-28,70.0
2024-02-29,70.0
2024-03-01,70.0
2024-03-04,70.0
2024-03-05,70.0
2024-03-06,70.0
2024-03-07,70.0
2024-03-08,70.0
2024-03-11,70.0
2024-03-12,70.0
2024-03-13,70.0
2024-03-14,70.0
2024-03-15,70.0
2024-03-18,70.0
2024-03-19,70.0
2024-03-20,70.0
2024-03-21,70.0
2024-03-22,70.0
2024-03-25,70.0
2024-03-26,70.0
2024-03-27,70.0
2024-03-28,70.0
2024-04-02,70.0
2024-04-03,70.0
2024-04-04,70.0
2024-04-05,70.0
2024-04-08,70.0
2024-04-09,70.0
2024-04-10,70.0
2024-04-11,70.0
2024-04-12,70.0
2024-04-15,70.0
2024-04-16,70.0
2024-04-17,70.0
2024-04-18,70.0
2024-04-19,70.0
2024-04-22,70.0
2024-04-23,70.0
2024-04-24,70.0
2024-04-25,70.0
2024-04-26,70.0
2024-04-29,70.0
2024-04-30,70.0
2024-05-02,70.0
2024-05-03,70.0
2024-05-06,70.0
2024-05-07,70.0
2024-05-08,70.0
2024-05-09,70.0
2024-05-10,70.0
2024-05-13,70.0
2024-05-14,70.0
2024-05-15,70.0
2024-05-16,70.0
2024-05-17,70.0
2024-05-20,70.0
2024-05-21,70.0
2024-05-22,70.0
2024-05-23,70.0
2024-05-24,70.0
2024-05-27,70.0
2024-05-28,70.0
2024-05-29,70.0
2024-05-30,70.0
2024-05-31,70.0
2024-06-03,70.0
2024-06-04,70.0
2024-06-05,70.0
2024-06-06,70.0
2024-06-07,70.0
2024-06-10,70.0
2024-06-11,70.0
2024-06-12,70.0
2024-06-13,70.0
2024-06-14,70.0
2024-06-17,70.0
2024-06-18,70.0
2024-06-19,70.0
2024-06-20,70.0
2024-06-21,70.0
2024-06-24,70.0
2024-06-25,70.0
2024-06-26,70.0
2024-06-27,70.0
2024-06-28,70.0
2024-07-01,70.0
2024-07-02,70.0
2024-07-03,70.0
2024-07-04,70.0
2024-07-05,70.0
2024-07-08,70.0
2024-07-09,70.0
2024-07-10,70.0
2024-07-11,70.0
2024-07-12,70.0
2024-07-15,70.0
2024-07-16,70.0
2024-07-17,70.0
2024-07-18,70.0
2024-07-19,70.0
2024-07-22,70.0
2024-07-23,70.0
2024-07-24,70.0
2024-07-25,70.0
2024-07-26,70.0
2024-07-29,70.0
2024-07-30,70.0
2024-07-31,70.0
2024-08-01,70.0
2024-08-02,70.0
2024-08-05,70.0
2024-08-06,70.0
2024-08-07,70.0
2024-08-08,70.0
2024-08-09,70.0
2024-08-12,70.0
2024-08-13,70.0
2024-08-14,70.0
2024-08-15,70.0
2024-08-16,70.0
2024-08-19,70.0
2024-08-20,70.0
2024-08-21,70.0
2024-08-22,70.0
2024-08-23,70.0
2024-08-26,70.0
2024-08-27,70.0
2024-08-28,70.0
2024-08-29,70.0
2024-08-30,70.0
2024-09-02,70.0
2024-09-03,70.0
2024-09-04,70.0
2024-09-05,70.0
2024-09-06,70.0
2024-09-09,70.0
2024-09-10,70.0
2024-09-11,70.0
2024-09-12,70.0
2024-09-13,70.0
2024-09-16,70.0
2024-09-17,70.0
2024-09-18,70.0
2024-09-19,70.0
2024-09-20,70.0
2024-09-23,70.0
2024-09-24,70.0
2024-09-25,70.0
2024-09-26,70.0
2024-09-27,70.0
2024-09-30,70.0
2024-10-01,70.0
2024-10-02,70.0
2024-10-03,70.0
2024-10-04,70.0
2024-10-07,70.0
2024-10-08,70.0
2024-10-09,70.0
2024-10-10,70.0
2024-10-11,70.0
2024-10-14,70.0
2024-10-15,70.0
2024-10-16,70.0
2024-10-17,70.0
2024-10-18,70.0
2024-10-21,70.0
2024-10-22,70.0
2024-10-23,70.0
2024-10-24,70.0
2024-10-25,70.0
2024-10-28,70.0
2024-10-29,70.0
2024-10-30,70.0
2024-10-31,70.0
2024-11-01,70.0
2024-11-04,70.0
2024-11-05,70.0
2024-11-06,70.0
2024-11-07,70.0
2024-11-08,70.0
2024-11-11,70.0
2024-11-12,70.0
2024-11-13,70.0
2024-11-14,70.0
2024-11-15,70.0
2024-11-18,70.0
2024-11-19,70.0
2024-11-20,70.0
2024-11-21,70.0
2024-11-22,70.0
2024-11-25,70.0
2024-11-26,70.0
2024-11-27,70.0
2024-11-28,70.0
2024-11-29,70.0
2024-12-02,70.0
2024-12-03,70.0
2024-12-04,70.0
2024-12-05,70.0
2024-12-06,70.0
2024-12-09,70.0
2024-12-10,70.0
2024-12-11,70.0
2024-12-12,70.0
2024-12-13,70.0
2024-12-16,70.0
2024-12-17,70.0
2024-12-18,70.0
2024-12-19,70.0
2024-12-20,70.0
2024-12-23,70.0
2024-12-24,70.0
2024-12-27,70.0
2024-12-30,70.0
2024-12-31,70.0
2025-01-02,70.0
2025-01-03,70.0
2025-01-06,70.0
2025-01-07,68.5
2025-01-08,68.5
2025-01-09,68.5
2025-01-10,68.5
2025-01-13,68.5
2025-01-14,68.5
2025-01-15,68.5
2025-01-16,68.5
2025-01-17,68.5
2025-01-20,68.5
2025-01-21,68.5
2025-01-22,68.5
2025-01-23,68.5
2025-01-24,68.5
2025-01-27,68.5
2025-01-28,68.5
2025-01-29,68.5
2025-01-30,68.5
2025-01-31,68.5
2025-02-03,68.5
2025-02-04,68.5
2025-02-05,68.5
2025-02-06,68.5
2025-02-07,68.5
2025-02-10,68.5
2025-02-11,68.5
2025-02-12,68.5
2025-02-13,68.5
2025-02-14,68.5
2025-02-17,68.5
2025-02-18,68.5
2025-02-19,68.5
2025-02-20,68.5
2025-02-21,68.5
2025-02-24,68.5
2025-02-25,68.5
2025-02-26,68.5
2025-02-27,68.5
2025-02-28,68.5
2025-03-03,68.5
2025-03-04,68.5
2025-03-05,68.5
2025-03-06,68.5
2025-03-07,68.5
2025-03-10,68.5
2025-03-11,68.5
2025-03-12,68.5
2025-03-13,68.5
2025-03-14,68.5
2025-03-17,68.5
2025-03-18,68.5
2025-03-19,68.5
2025-03-20,68.5
2025-03-21,68.5
2025-03-24,68.5
2025-03-25,68.5
2025-03-26,68.5
2025-03-27,68.5
2025-03-28,68.5
2025-03-31,68.5
2025-04-01,68.5
2025-04-02,68.5
2025-04-03,68.5
2025-04-04,68.5
2025-04-07,68.5
2025-04-08,68.5
2025-04-09,68.5
2025-04-10,68.5
2025-04-11,68.5
2025-04-14,68.5
2025-04-15,68.5
2025-04-16,68.5
2025-04-17,68.5
2025-04-22,68.5
2025-04-23,68.5
2025-04-24,68.5
2025-04-25,68.5
2025-04-28,68.5
2025-04-29,68.5
2025-04-30,68.5
2025-05-02,68.5
2025-05-05,68.5
2025-05-06,68.5
2025-05-07,68.5
2025-05-08,68.5
2025-05-09,68.5
2025-05-12,68.5
2025-05-13,68.5
2025-05-14,68.5
2025-05-15,68.5
2025-05-16,68.5
2025-05-19,68.5
2025-05-20,68.5
2025-05-21,68.5
2025-05-22,68.5
2025-05-23,68.5
2025-05-26,68.5
2025-05-27,68.5
2025-05-28,68.5
2025-05-29,68.5
2025-05-30,68.5
2025-06-02,68.5
2025-06-03,68.5
2025-06-04,68.5
2025-06-05,68.5
2025-06-06,68.5
2025-06-09,68.5
2025-06-10,68.5
2025-06-11,68.5
2025-06-12,68.5
2025-06-13,68.5
2025-06-16,68.5
2025-06-17,68.5
2025-06-18,68.5
2025-06-19,68.5
2025-06-20,68.5
2025-06-23,68.5
2025-06-24,68.5
2025-06-25,68.5
2025-06-26,68.5
2025-06-27,68.5
2025-06-30,68.5
2025-07-01,68.5
2025-07-02,68.5
2025-07-03,68.5
2025-07-04,68.5
2025-07-07,68.5
2025-07-08,68.5
2025-07-09,68.5
2025-07-10,68.5
2025-07-11,68.5
2025-07-14,68.5
2025-07-15,68.5
2025-07-16,69.5
2025-07-17,69.5
2025-07-18,69.5
2025-07-21,69.5
2025-07-22,69.5
2025-07-23,69.5
2025-07-24,69.5
2025-07-25,69.5
2025-07-28,69.5
2025-07-29,69.5
2025-07-30,69.5
